PHONEME,F1,F2,F3,SPEAKER
2,371.674665207544,1675.72533949481,2892.11253136955,coulson
2,395.910425623974,1123.30950382954,2413.244282607,coulson
O/,422.948516389144,1122.61890052739,2423.03900799529,coulson
A/,380.50359477523,803.214401069471,2389.90596831313,coulson
2,442.134695499997,707.755690350512,2658.81918585275,coulson
A/,469.810624782029,1461.62241731451,2498.69005543434,coulson
E,419.799409048586,1655.29690467867,2421.00506445227,coulson
@,409.191462546742,2007.99654474035,2681.73549471417,coulson
a~,502.608977643258,984.398266023812,2343.66407328325,coulson
a~,266.801198674692,1160.94701786467,2380.89489544858,coulson
e,365.137642601093,1059.65056374456,2480.48852948712,coulson
E,351.336446033368,2394.36068504306,2436.93330372566,coulson
O~,425.250687224348,1634.23918234348,2333.45059682608,coulson
A/,586.5162444386,1496.29877530174,2979.26300131488,coulson
A/,493.65148434852,1212.99813770318,2430.39077082853,coulson
e,521.129366596551,1602.48297050846,2615.71879957967,coulson
O~,508.225268829196,1431.38042531323,2454.54262112018,coulson
E,658.024091104722,1093.77393531299,2646.16672339501,coulson
A/,762.827489680844,1257.24735918219,2369.66666145026,coulson
O/,518.213111163058,1092.72963445835,2347.00923570551,coulson
U~/,560.020142246524,1468.95825908942,2455.66458534438,coulson
O/,494.041797271368,1185.45743361848,2296.59050788363,coulson
@,835.027288551127,2173.46229946809,2902.8918214987,coulson
i,498.773888074287,1944.64744367575,3160.56714408995,coulson
y,567.577824857793,2336.62000299083,3009.40103376626,coulson
2,323.408506971733,1449.34925432246,2392.78118515461,coulson
O~,521.13046816359,1144.0284305328,2260.76982897357,coulson
O/,603.636136237648,1916.77439563199,2761.69739817204,coulson
O/,608.690812338729,2170.70982413413,2488.97243803215,coulson
E,413.402602095553,1713.85438473771,3388.57223911082,coulson
@,354.046139019854,1755.93782478572,2384.88681903591,coulson
e,390.397247087276,1886.35737606885,2645.54297310593,coulson
e,403.99792070645,1898.32950769494,2546.54892996206,coulson
A/,586.692783398161,1091.36772132029,2335.6980105114,coulson
