PHONEME,F1,F2,F3,SPEAKER
O/,1127.55887888335,2083.02896826255,3200.00113785944,josh
e,423.873896297657,1806.80321345117,2386.23754765752,josh
O~,1171.20935194488,2284.44423000852,3418.43161231766,josh
@,489.878807388608,1175.1584931005,2469.56523947576,josh
O~,536.109935869012,1263.76800015122,2485.15121100155,josh
@,457.96625040386,896.502009826584,2575.85823791146,josh
O~,448.551507346749,1151.06875908845,2338.61124580766,josh
i,262.32786629961,2445.54193015308,2498.21616486421,josh
y,350.03043923275,2193.83292446155,3344.21789956169,josh
e,430.173821245469,1220.54229877922,2221.69390416477,josh
A/,615.702063804761,1523.99688986584,2392.49087408583,josh
E,488.634772175742,1311.81688578744,2310.97200126476,josh
A/,487.718442059559,1406.56601658187,2483.16604397096,josh
E,449.896476551377,1353.90753859627,2229.31235446438,josh
O/,1093.50081344905,2273.28108197024,3473.14446757536,josh
@,529.044728165903,1240.71451674106,2765.42676189204,josh
i,353.427916508344,1450.56664196916,2554.1952868723,josh
y,2204.24867931948,3316.61044922245,3860.57582401258,josh
O~,2325.42523416468,3189.58280801389,3418.2593394001,josh
A/,387.350215457272,865.179236161096,2441.73450315046,josh
@,865.558203475061,2407.96615321249,2641.54270921014,josh
E,400.744642427652,1938.53119784773,3348.44213236254,josh
E,678.075401430075,1911.17245332358,3039.64730361547,josh
O/,651.190058770366,1627.36017658679,2049.7692776966,josh
A/,954.884605694455,2640.67380698875,3676.02059431723,josh
@,1441.79586237425,2218.23209813628,3162.52981535805,josh
@,449.612872297853,1427.55238255323,2730.44934049298,josh
e,429.233652871107,1699.00371877011,2464.85775640383,josh
e,414.223343382635,1538.66846286697,2345.8773857964,josh
e,466.044024778566,1578.39739641843,2448.99371175367,josh
A/,511.368647590938,1289.50237053751,2400.20374918565,josh
E,609.011203886059,1438.42166390764,2313.7749845225,josh
@,550.686939155217,1396.18021301241,2185.8904361244,josh
@,560.291074692339,1444.32897456581,2092.67685050208,josh
@,1023.75407676215,1977.61657641606,2978.20485711496,josh
