PHONEME,F1,F2,F3,SPEAKER
A/,583.941646379951,1326.11483453703,2612.74183039869,fitz
A/,464.365385160735,1077.26945399318,2428.75319399075,fitz
E,412.483706773582,1561.71519628944,2466.49144377634,fitz
U~/,640.608249077606,1814.37637680912,2600.00054434607,fitz
E,544.158319300504,1713.96703500419,2403.1494516701,fitz
i,366.238689335947,1992.42462007119,2638.60452813435,fitz
E,1465.10996932781,2855.73710068551,3345.27020561924,fitz
i,323.333955329955,2003.97078536108,2462.0436719465,fitz
u,273.433978431084,1913.59510938037,2168.90192111492,fitz
U~/,552.45629108272,1614.79154833869,2369.16678658505,fitz
y,447.865435044505,1862.25193668328,2385.15069698121,fitz
@,340.867007219644,1161.65013522987,2466.98804179213,fitz
y,295.180633222097,1528.71638203741,2805.03345258148,fitz
a~,507.312032540627,1360.98867632161,2701.60741571094,fitz
a~,498.85620003149,1231.73804029141,2700.3908413375,fitz
O~,487.53498012789,1232.62249056882,2836.32689243339,fitz
O/,553.621564336211,1165.00342010944,2343.36348228823,fitz
e,383.794157772653,1894.44389345835,2663.36146730395,fitz
E,415.664828613213,1737.78707563979,2529.35650295551,fitz
O~,857.662331890605,2265.92884332846,2549.58490943695,fitz
E,543.018865397169,1440.78549739753,2463.43959963261,fitz
i,401.01141692685,1953.52035244809,2552.58437965277,fitz
O~,680.106592438753,2369.71943814603,2559.49145475281,fitz
E,523.581361169808,1435.86328801748,2467.15502226138,fitz
i,313.824073691614,2013.67087253148,2415.71507096566,fitz
u,420.844338172663,1086.56145454821,2516.42582214852,fitz
O~,565.376882660654,1129.63429706559,2656.08397165021,fitz
O~,1112.91322899301,1729.9451663792,2466.63525450376,fitz
y,1893.75553326499,2290.59091933811,2781.89744836988,fitz
O~,484.072947775414,1466.19061381607,2205.3611487096,fitz
A/,575.57773559901,874.304373519632,2706.79810439607,fitz
E,663.243518389742,1420.12945790352,2280.22978137383,fitz
@,550.349429014474,1399.14414796939,2385.01150437737,fitz
O/,522.339267108875,1235.35591357352,2537.56379265345,fitz
@,540.763406586256,1226.74220384041,2791.2521350185,fitz
y,261.563336599113,1276.96934849011,2613.32085741679,fitz
a~,1016.71200057433,1934.98203607277,2940.24262704918,fitz
E,570.416870357623,1473.0778113507,3425.05187284389,fitz
i,285.695876982826,1689.33446427886,2992.46092410423,fitz
y,1780.58797780961,2658.89519788454,3561.89152280987,fitz
O~,1021.2956136109,2775.26370760939,3802.59843068633,fitz
e,801.060370170905,1947.81915380285,2853.23101342867,fitz
e,391.799277801436,1860.48116934861,2445.36153488187,fitz
u,322.289282818535,1507.22774906385,3292.50821098433,fitz
u,346.667473309959,1597.12756087527,2809.75995834236,fitz
O/,740.170058047317,1389.83350265427,2623.99931300563,fitz
@,532.86969361811,1783.78531133189,2795.0492921716,fitz
y,465.56494173653,1443.81721537891,3024.39574807912,fitz
E,410.826576485229,1705.56408068495,2429.92090915468,fitz
E,397.24882671817,1658.66962657807,2528.82147627218,fitz
O/,433.383371901315,1416.94625609505,2590.94108557695,fitz
y,882.952343886699,1844.7655602767,3009.85282003302,fitz
e,399.261364591409,1794.34293865628,2586.39954691483,fitz
E,417.81462035361,2051.12686286122,2765.24707815717,fitz
O~,518.704689192461,1469.39123792103,2354.12331342882,fitz
O/,431.24220785658,1235.91530110419,2670.6593511501,fitz
A/,539.265648089603,919.769562349663,3089.22954209004,fitz
u,447.670736188154,1474.29617954031,2382.67456310374,fitz
O/,808.239128548866,1273.71576345565,2770.68027200299,fitz
A/,398.639149808823,1484.66228050956,2516.77750331236,fitz
a~,553.377987032752,1331.52756183748,2580.86572999379,fitz
O~,1295.90006911524,2701.95674639325,3402.65860042904,fitz
O/,486.741353574775,686.154566827632,2688.11339236378,fitz
A/,504.463964892444,1440.22282162119,2459.58245256551,fitz
e,506.930536802363,2646.55818691505,3204.61024328553,fitz
E,501.701468149972,1669.04820363504,2690.74380916839,fitz
y,854.473058391551,1985.59893844253,2746.15546609993,fitz
O/,579.743784408187,1418.6939893654,2789.42105261793,fitz
e,479.274382922011,1734.29180626294,2744.5421677072,fitz
E,275.029314208317,1552.67798901369,2263.29015236871,fitz
@,440.270088841613,1812.05082742982,2792.19430966552,fitz
i,440.218890608046,2191.50419525419,3228.46430025487,fitz
a~,416.006379928456,1379.73646422059,2594.07406200639,fitz
2,447.45794268107,1716.57052229587,2466.69889653175,fitz
O/,117.97892940253,1416.7143945894,2476.37772250398,fitz
U~/,545.750877138375,1856.11436089088,2692.90322560898,fitz
y,417.790013800283,2046.5589889758,2956.00879638123,fitz
U~/,477.456609857545,1785.86002084115,2668.19830700147,fitz
y,368.073564654132,1951.31142887027,2704.72200201058,fitz
O/,1300.10704403607,2552.05796142769,3612.08797668604,fitz
E,559.868043919882,1460.9406941251,2410.71473418124,fitz
e,447.353791321062,1857.85316624891,2714.7115923998,fitz
E,532.227100290218,1828.9526478646,2454.414002247,fitz
e,463.879088266983,1760.60694975538,2706.01475821961,fitz
A/,517.334095848783,1455.62589791872,2702.82295873153,fitz
E,444.708012981688,1782.14376878285,2499.89535805997,fitz
E,428.483408350437,1976.52798227293,2740.23125643609,fitz
A/,560.089725328598,1017.68708695445,2332.13002143382,fitz
E,592.256784655151,1707.57002657331,2551.14576094133,fitz
A/,628.238454567387,1355.36630579602,2603.23312076462,fitz
@,436.023952992116,1620.93362109348,2485.423576691,fitz
E,485.445647154031,1698.58635449942,2458.55233649999,fitz
E,467.697133879697,2036.01954752883,2715.4430795564,fitz
y,403.443748474534,1549.11041844634,2538.04857706014,fitz
y,477.170156351116,1354.65507692723,2694.7459023927,fitz
U~/,495.293527020477,1361.65251115153,2772.21683272143,fitz
A/,536.261041730745,1617.84520050444,2606.41417238234,fitz
O/,298.927201002267,1414.30857063732,2534.7456013925,fitz
y,533.561845714338,1636.22789767857,3100.23173921918,fitz
O/,472.696009537063,1197.19003815175,2661.54679521966,fitz
i,235.428121856639,2101.26481908981,2461.29633636037,fitz
O~,466.193229025334,1530.21364221848,2399.24686162276,fitz
@,423.979782302931,1682.89127848165,2554.51452352346,fitz
