PHONEME,F1,F2,F3,SPEAKER
O/,"1000,10235924867","2751,48754542981","4948,62953908658",josh
E,"479,353635314689","957,799576400499","3106,6737571668",josh
E,"612,675771906064","1393,58739939383","2249,07283722372",josh
i,"370,269753997551","1835,92655559707","2357,38245402553",josh
A/,"466,902693040355","1787,57782163731","2415,89418514497",josh
A/,"452,013483837397","1289,30828361578","1979,27845660809",josh
A/,"566,762851012572","1151,07011749195","2501,83087518769",josh
A/,"544,872149543586","1028,60469183779","2672,23260566516",josh
@,"408,566511698812","1693,32313230774","2150,02463376169",josh
y,"319,913937213898","1818,55882629773","2388,98078044939",josh
i,"392,146474186592","1886,79814832695","2945,6414710582",josh
U~/,"467,069210091411","1637,66585283227","2559,80127380503",josh
2,"440,738091169125","1399,22599117875","2100,47275321128",josh
O/,"1012,31265053262","1382,14399364575","3304,39060263144",josh
E,"575,031945212651","1211,42404118279","3075,46065927554",josh
a~,"590,30164338841","1283,85483691626","2200,605228942",josh
@,"403,147113864784","1653,93383511473","2086,73501020308",josh
y,"619,571325276106","1144,36733414456","2331,70362286512",josh
y,"358,540983296666","1606,18443336513","2475,29682568747",josh
y,"1931,57808596843","2643,63019828017","3546,84041999",josh
a~,"461,297701125347","908,724059667945","2666,20274903663",josh
E,"402,132278501708","1607,73007920014","2457,8451481204",josh
y,"295,652993781635","2174,36808147343","3018,96817839372",josh
y,"311,81409576569","2375,62227346969","3279,28080657189",josh
a~,"629,274373036852","1364,81213686672","2404,11140069856",josh
u,"574,484574913088","1007,11690371884","2642,33595881737",josh
A/,"592,64190905546","954,321789229179","2463,23345503207",josh
A/,"584,499959805045","1388,63293462077","2536,72146619965",josh
E,"508,728139306366","1504,77058843164","2550,24609864058",josh
A/,"520,371779493811","1574,3173510885","2283,98834383257",josh
E,"469,018095763945","1459,17024096906","2244,49698449495",josh
A/,"551,0340194465","753,987107363933","2575,86266657063",josh
y,"859,112134531073","1896,79736787738","3008,01614027097",josh
E,"520,588511559429","1473,97181492488","2376,71415193244",josh
@,"502,003113590236","1742,26589717482","2705,3448921989",josh
U~/,"367,540712175199","1703,04646548827","2405,84573387637",josh
A/,"478,438232987569","1219,73480863283","2421,00671539556",josh
a~,"586,961715795652","1417,59063914872","2224,4076304726",josh
O/,"1048,4419381139","2077,31215533782","3053,62142349412",josh
e,"381,492010198712","1910,53908029463","2725,2602300885",josh
y,"389,53621154495","1315,88137953789","2526,02067158803",josh
e,"651,098200494761","1637,72832339711","2526,29637829833",josh
E,"557,961002712893","1352,26475457102","2387,06713213727",josh
y,"499,853248211513","1399,76273231305","2546,48169329091",josh
E,"370,285091791877","1592,09121259827","2480,20045667074",josh
y,"318,206758427449","1717,61311809602","2620,270466224",josh
u,"577,34250437359","1747,04866634587","3156,90289137021",josh
y,"447,298411203859","1342,64570106916","2416,90897305105",josh
e,"300,029963000053","1408,93098916008","2411,48028406796",josh
A/,"460,891816389703","1380,39390600589","2385,73098809747",josh
i,"323,766607931722","1681,8465864409","2389,55576514627",josh
y,"2064,21066005039","2547,04220581391","3410,94297500128",josh
O~,"558,926751403685","1608,88369053797","2407,54344107596",josh
i,"304,367917354646","1636,77831258761","2731,92153833301",josh
y,"678,118853782739","2803,05874565393","2914,65707573822",josh
O~,"466,326849075954","1538,27669647899","2094,30044368922",josh
y,"290,179478158956","1254,41352817852","2272,31941927982",josh
U~/,"328,717880884838","1529,08649640767","2480,04924706185",josh
O/,"669,741169257805","957,355647621387","2114,94257778516",josh
E,"441,041915855996","1418,26063327672","2162,39189050009",josh
y,"332,925981533181","1495,29401093048","2391,79893699682",josh
e,"593,83127999578","1398,91689999187","2501,26231060079",josh
E,"551,00492048284","2026,54609362122","2530,77756502037",josh
E,"584,093640645453","1616,98283486301","2708,75878053179",josh
e,"378,594054409548","1731,20014416983","2633,53209608358",josh
E,"423,509061777031","1943,81226213288","2625,5084072897",josh
O~,"554,416568581967","1591,71408565605","2536,61700619458",josh
y,"317,336537038716","1481,16642746147","2694,04036280129",josh
u,"943,700176856077","1463,03631247335","2050,22140417923",josh
A/,"588,635303022178","1173,27748557363","2535,21014687399",josh
y,"613,880978806383","1852,64684597896","2924,87807713198",josh
A/,"587,246061392689","1055,63981594972","2273,56157364182",josh
E,"480,92203791756","1549,98209736393","2581,50938260433",josh
