PHONEME,F1,F2,F3,SPEAKER
O/,544.854734500896,1286.6164681641,2624.86326184153,talbot
A/,631.141624637488,978.236137779967,2621.71021925869,talbot
A/,502.193672428796,718.918488713605,2456.71138637589,talbot
e,375.546290972706,1785.10367273699,2465.5690520387,talbot
O/,418.943946871079,1225.81506888573,2067.24988054423,talbot
A/,637.057661930673,1325.32077996487,2296.33576197848,talbot
O/,384.640481136045,1211.23243187657,2591.42461029794,talbot
i,432.895750553736,2228.58056465948,2345.69103487612,talbot
u,439.747743102853,1136.29836648844,2352.84220367498,talbot
A/,487.389018961113,819.806081478689,3064.39756488835,talbot
i,677.206802987857,1932.54042692794,2694.94359646231,talbot
e,380.338965476071,1936.41132334034,2950.90353436246,talbot
A/,596.236692027995,981.862186219048,2473.04075259412,talbot
y,629.669616886928,1567.67976573164,2475.46326016189,talbot
y,1339.94424264196,2463.69586382028,3071.94513494479,talbot
i,341.882508841481,1880.30433413747,3129.46402062369,talbot
A/,519.098210399534,1012.07766247256,2448.03890067458,talbot
i,571.03280312824,2000.02983511091,2545.93228683668,talbot
A/,489.730045274415,1884.27471819387,2530.58968015588,talbot
U~/,566.404373491383,1670.71239469188,2489.13726060574,talbot
A/,503.699792474137,1359.31912057489,2675.05065647435,talbot
E,439.537964628078,1703.13644494376,2388.87849977248,talbot
i,337.825191355005,2053.94680119679,2372.30372586854,talbot
e,440.840583992149,1770.55674810099,2562.35315012677,talbot
i,414.495539538624,2085.09859439026,2395.90638719096,talbot
i,1047.09655531105,2217.98051066899,3046.75481013408,talbot
A/,576.520306100714,1663.60495223516,2419.33820763504,talbot
y,162.732466778326,1162.19933746529,2662.97138453721,talbot
O/,506.474198274816,1621.06948982498,2647.55937202944,talbot
O/,396.303023224961,1764.20403374856,2594.75631317597,talbot
u,1108.48858714562,2598.63742913715,3544.25743047475,talbot
a~,499.360410485854,649.895404213894,2623.38070585347,talbot
e,415.158626934694,1883.92473897909,2396.09163599203,talbot
u,493.194603066683,1354.53907452042,2587.73179547412,talbot
a~,1730.80680904027,2397.3007313359,3205.46200710575,talbot
a~,719.3914415447,1950.42015417092,2603.17944105084,talbot
2,473.671760840554,1869.76095655354,2359.52486162643,talbot
i,257.596766665878,2004.31506912883,3057.36429589632,talbot
a~,461.97123212595,1403.05749710711,2439.18813180477,talbot
@,445.286190710571,1277.14586986339,2673.15075116431,talbot
