PHONEME,F1,F2,F3,SPEAKER
O/,999.441057408414,1045.21922696349,3028.863487819,josh
e,806.93285577953,1903.54798106225,2318.49137229422,josh
O/,617.013465208045,1346.60739318555,2670.00879646885,josh
E,545.513795548124,1579.23487758316,2535.08304099154,josh
y,986.43823669958,2158.36976462449,3041.19537988372,josh
i,354.25615505571,1857.04518233807,2663.31156106651,josh
A/,492.213491419331,1482.77956074773,2447.12197967313,josh
E,518.779573906102,1469.16360814996,2247.36979035449,josh
i,313.716447117056,1965.6155578342,2680.20559898567,josh
y,324.525408665506,2030.82924745681,2861.03201004342,josh
@,487.598017080814,1625.15764375335,2331.11871492249,josh
y,420.366201857114,1518.26465287832,2259.05980618074,josh
y,1234.39213563419,2550.5576207006,3411.41830048311,josh
a~,459.991512754161,1000.98846920346,2519.0899876335,josh
E,431.352212937649,1494.69386810178,2272.16270142408,josh
y,394.27369979267,1830.00846531725,2179.18095504052,josh
y,312.243558095979,2128.74112700138,2613.29867013058,josh
a~,644.574313540343,1261.44860572956,2656.49580826862,josh
A/,415.454533324905,1334.53719573627,2338.08581117145,josh
E,477.324514782453,1685.71813144518,1940.03983051279,josh
A/,500.119002829343,1024.72566678657,3114.27420660406,josh
@,417.400750383942,1339.40285973176,2300.94703254489,josh
A/,715.247708500559,1091.56715628332,2452.51078384961,josh
A/,597.973063244256,1004.69774403604,2408.07598304796,josh
e,518.658264108322,1592.59367693126,2524.29487575164,josh
e,503.003730416075,1694.17419971491,2588.68566610241,josh
u,322.444627495636,1645.86966146819,2194.43557127835,josh
A/,519.046414034295,1255.0698239412,2933.19502908735,josh
E,425.258071985237,1483.88007397684,2704.69075784019,josh
y,1730.700049945,2580.4480814565,2973.27604513801,josh
i,281.57087550512,1952.0373755226,2995.3302830523,josh
U~/,559.437663701762,1738.59899907904,2313.00874606555,josh
2,451.463407148585,1352.24123828106,2088.26330385958,josh
O/,596.123365154161,936.523456682915,3042.03601504229,josh
E,445.589677869089,1731.8349482706,2120.91496922393,josh
a~,551.290843784036,1321.68605126752,2877.22019518352,josh
E,586.704316668139,1438.38681043998,2131.53098148799,josh
i,448.932332829973,1640.20228814836,2496.37926473655,josh
y,355.683242492026,1723.68475213299,2361.22694270724,josh
A/,508.173828481398,1382.01143672934,2428.47291664145,josh
E,520.859380535979,1542.49629716097,2476.26322847475,josh
