PHONEME,F1,F2,F3,SPEAKER
u,1024.83834183169,2617.28802066219,3088.97936381195,ward
i,453.135712191546,1690.58104550395,2344.7701074556,ward
u,435.127150132904,1575.58822247182,2681.14339090904,ward
i,445.998376559988,1703.86615903551,2547.61364373951,ward
2,405.636252817747,1586.25199156347,2629.46466649295,ward
a~,528.158128081886,1436.84167097546,2481.17665502602,ward
a~,582.358128605442,1203.22244521551,3059.88865871189,ward
a~,503.335080842652,1253.35204046805,2383.43433400515,ward
A/,659.425921330591,963.360657235218,2407.0259376509,ward
A/,512.730516349455,1580.02583351811,2471.82233086282,ward
e,319.734924472878,1543.07796860652,2050.33902110917,ward
@,336.189280683744,1562.82782915286,2551.5367252266,ward
e,420.647032035598,1718.47494871443,2460.21175666864,ward
e,359.646677424944,1865.74665328707,2093.8655132621,ward
U~/,372.067247608046,1988.39266045374,2627.88702033964,ward
@,401.656921266624,1993.07845708855,2613.70264921523,ward
i,207.4745849293,2360.54264919357,2610.78159955116,ward
@,398.234649365985,1250.24520253436,2188.47717028818,ward
E,394.133270551907,1780.83569279488,2538.22160238941,ward
a~,500.453995692592,1386.78033378468,2198.9693532093,ward
e,316.810761097142,1815.1616560742,2522.49668490732,ward
e,421.105356379611,1695.27324748794,2358.14344748918,ward
A/,365.620151941592,1222.3777264277,3627.65257316292,ward
A/,514.279217652538,1018.05004509472,2415.81695161796,ward
A/,503.351415023263,1445.0488315761,2214.22260381079,ward
i,480.401822640402,1627.21829605266,1641.88799921366,ward
A/,583.177452725782,1195.22229037649,2793.3464320339,ward
E,441.271558248122,1625.32870845993,2611.40451948609,ward
@,595.674261429944,1145.1885205583,2289.76122320513,ward
U~/,640.991428317001,1497.12752541649,2669.34671690451,ward
@,400.131090543048,1671.4884199554,2616.18629278815,ward
A/,422.239542042312,1553.24673111132,2427.94590145674,ward
i,409.764039267715,1644.02964739358,2576.54912530781,ward
e,326.363412838928,2020.1605669587,2574.51020687414,ward
A/,454.869403452265,1517.86079209077,2652.65832906181,ward
E,409.370915733206,1695.34073493455,2600.96767330552,ward
y,485.783335645912,1699.60724837107,2175.43788465839,ward
O/,558.757402726968,1661.71619941101,2968.82268413839,ward
O/,502.049757194304,1567.45032081562,1936.9873447833,ward
A/,555.711337037259,1076.73383913017,3184.38071661124,ward
e,351.847735598422,1746.38989607362,2569.54333540904,ward
U~/,658.444692140808,1427.81721607554,2827.42052245057,ward
A/,417.774277259307,1435.27301288069,2202.72489875078,ward
i,448.96418676698,1637.83560442941,2829.59411250044,ward
e,321.867727268642,2415.38396448257,2493.99283160536,ward
A/,448.556489555256,1488.90045065703,2247.35687759389,ward
i,216.76413129857,2410.52896998264,2603.81513334957,ward
e,343.294589791643,2293.54621575162,2607.53245607615,ward
y,458.118818718581,1553.09843043076,2401.68319283196,ward
y,497.037703103267,1770.72588116498,2409.34692038648,ward
e,454.750306505324,1664.8373116145,2515.0597957288,ward
A/,523.431777615899,1461.13208911402,1857.58104112178,ward
A/,406.822813842314,1735.34271786536,1927.36048375316,ward
e,377.740144750209,1840.31970580955,2022.10906338238,ward
E,428.656649782432,1632.38034495449,2105.15264267062,ward
A/,581.467763252607,1605.06932959222,2549.86668558272,ward
