PHONEME,F1,F2,F3,SPEAKER
O/,809.65244344336,1439.20414837793,2452.01064467491,josh
O/,627.339117131829,1376.53158337916,2215.41250104814,josh
e,405.673173448338,1818.27617541865,2770.32118069045,josh
i,945.685970162399,2402.63758736379,2740.19371265982,josh
y,357.598335455758,1928.14764463605,2624.86785695138,josh
@,485.538408953397,1249.30596975018,2412.81165960844,josh
y,353.482579859528,2185.91253110401,2524.72805289196,josh
@,512.550519367545,1099.65535175909,2487.13390545318,josh
a~,578.200722031766,1026.97904096319,2685.09361377373,josh
a~,680.478737856274,1276.48819922931,2458.8462286257,josh
@,552.796154127936,1466.30520896245,2425.65530912121,josh
U~/,303.80686974133,1882.72334422347,2553.49645542302,josh
u,218.592627587839,1333.84846950531,2354.19294321905,josh
A/,874.549741629637,1847.0357509977,3260.26305329644,josh
O/,688.961067174635,1150.16706986799,2813.85549878688,josh
e,471.159018623234,1893.82826318862,2615.00368649549,josh
A/,607.528461817452,1104.32821920291,2201.5812010989,josh
e,535.810824234448,1596.65308522061,2450.35378572275,josh
y,672.516612900467,1481.0657345371,2684.63019633263,josh
A/,681.335762137929,1547.14611767613,2345.39574943825,josh
E,455.560489731384,1578.45345714426,2392.1489871246,josh
@,708.656618716257,1393.94606895767,2503.80535318766,josh
y,817.850171008236,1368.82375964806,2573.4272452671,josh
u,287.30806592587,1932.34213828626,2338.00784932876,josh
A/,525.945857857828,1410.37958369436,2502.70989675801,josh
e,475.447175282153,1616.69378461332,2579.76026419883,josh
y,335.977544496016,1859.03400077771,2671.72761525129,josh
@,444.384583481786,1448.39915374079,2545.47598977039,josh
y,453.76420940341,1604.98594636586,2480.25213093669,josh
u,532.31080565218,999.495230383604,2839.09182458704,josh
A/,532.061756333213,1085.54658157488,2203.24989628805,josh
A/,590.135832443355,1101.40235544952,2633.95359464728,josh
U~/,540.072333860244,1458.5931140754,2416.03726838816,josh
y,505.603012333196,1794.32525286383,2334.76566039186,josh
i,387.478242275931,1951.46382196449,2726.28706845773,josh
i,305.698743709407,2051.87125904273,2549.93641992399,josh
y,367.267154944544,2222.99501683094,2719.78957752747,josh
O~,527.538473206313,1653.72209791668,2145.58782053017,josh
y,553.865680953236,1508.62971270236,2509.10106637617,josh
u,577.615547773674,1340.54467972415,2625.37264521849,josh
U~/,467.302757038763,1428.03706279056,2573.2968517955,josh
O/,640.491659168247,1590.69005333912,2784.47272537014,josh
A/,621.942222652986,1172.58488901409,2952.86346200088,josh
y,641.383120903321,1664.85185464034,2810.79517286775,josh
e,396.534189057598,1712.1992660332,2658.10842115327,josh
e,402.76720570663,1721.28782006074,2633.98277356123,josh
E,427.973872670517,1983.31985808053,2634.30479743459,josh
O~,537.622253649216,1592.39535247864,2245.70757797359,josh
E,355.036150424444,1509.63564950424,2392.28090147408,josh
y,633.177515826627,1566.77648706848,2690.68461813896,josh
E,467.799252471038,1528.05580215353,2412.35334190236,josh
y,412.545386430952,1707.58695277686,2492.49639543154,josh
y,328.730517407415,1851.08662237468,2619.6067044562,josh
O/,471.957538648307,1450.44070227881,2265.3753478773,josh
y,323.027179076977,1948.08929237471,2753.46906074818,josh
u,884.296911356925,1851.13119933614,3283.33164220336,josh
y,920.781647015764,2002.91462955996,3028.13935865052,josh
E,576.270592773599,1381.504849718,2285.65646329825,josh
A/,538.216395444345,1584.53860110505,2246.12196553552,josh
a~,558.253392613803,1050.56181129324,2128.21979676989,josh
e,408.462138504576,1647.83779349154,2408.75365435136,josh
A/,492.190118040916,1321.42672839436,3028.66025927245,josh
A/,457.132558080019,1294.81110977327,2970.96764442173,josh
i,498.12354084398,1545.37558058015,2871.5372682498,josh
y,2267.04844392202,2765.18906215122,3716.40857037485,josh
O~,554.836570915803,1449.00447787277,1957.64819386776,josh
y,419.970420196265,1529.1813825966,2561.75999214209,josh
E,314.438845269173,1579.44273933098,2345.44798723734,josh
e,388.529783502868,1625.80358465729,2366.73330622655,josh
A/,602.024087028543,1039.00573174972,2408.43965359753,josh
E,444.757545320262,1571.28533481966,2544.37295806468,josh
E,526.615679302758,1486.05147436583,2290.96115858703,josh
E,534.468324458708,1369.54236024935,2393.12631860376,josh
@,521.376116370226,1484.67953042498,2757.37923669756,josh
A/,713.202197088478,1782.13293303186,3047.50269772758,josh
e,521.101025251979,1533.22533293872,2425.23830043821,josh
u,596.043194407225,1619.6613424454,2698.33558726996,josh
e,399.9540916245,1670.19932821387,2445.58732101591,josh
A/,450.831011144815,1354.74703629568,2264.28385928076,josh
E,609.747301232298,1325.08711572954,2348.94242819088,josh
y,678.09880665338,1674.81239945318,2652.11857979057,josh
e,646.128042761111,1371.22118548365,2732.84919201369,josh
u,738.828305173803,1355.52085369422,2514.57959216828,josh
i,319.563146891289,1941.75376643294,2968.99077336826,josh
U~/,586.213232751775,1772.59375360033,2690.33645553568,josh
U~/,586.751831316093,1175.87294473713,2609.81102302374,josh
@,494.112478970222,1542.67975528835,2174.92914656671,josh
A/,585.480590101217,1068.59174372116,2235.69074688527,josh
O/,655.243166709494,1824.98299693027,2846.94684252189,josh
A/,539.288233805852,1271.38761696554,2446.77916355963,josh
i,482.893803289553,1562.26467690002,2374.31241290973,josh
E,543.725735247063,1299.23927125466,2147.97372470118,josh
E,531.021739546873,1349.94615135358,2112.30097888783,josh
A/,571.378524520061,968.059003269295,3031.77337259709,josh
O/,564.647284146966,997.885197784071,3005.20049810841,josh
i,452.307117126338,2024.84886912849,2493.51877533602,josh
u,306.317736495408,1700.92079111395,2446.36916339856,josh
@,311.508470078083,1391.85347166293,1862.46423534428,josh
a~,568.03835084135,1297.67571015038,2294.02188619155,josh
y,1332.89298230235,2408.22776252713,2909.99340573711,josh
A/,374.925174799707,1837.32072398363,2771.32749583826,josh
E,437.788126248621,1370.4894974034,2520.75931404457,josh
@,458.246264705151,1587.81786357758,2421.58737365948,josh
y,475.132599542568,1426.4840039878,2618.88836421994,josh
y,585.940553016222,1451.99217939575,2337.0233325784,josh
A/,466.847452233888,1326.11085457753,2420.97072073,josh
y,949.771672223289,1781.21095132234,2725.27625740411,josh
E,538.56250862474,1581.97978593404,2590.67504176995,josh
@,354.922301998734,1657.31645550191,2140.08950129723,josh
A/,569.944411256728,1347.14346972189,2550.23683210785,josh
E,485.113698495348,1706.6092203105,2339.49132088996,josh
@,568.379762563039,1508.02661872579,2472.37344227224,josh
y,486.083644851477,1685.21861039412,2189.96285102655,josh
O/,603.000508118037,1517.65692949522,2574.66881797709,josh
u,527.247412361649,1249.80065256802,2492.90213030872,josh
A/,540.989471658582,1211.77677159514,2714.92650543754,josh
A/,423.026981822131,1276.20584496893,2808.48786167779,josh
U~/,522.019220126778,1489.83619595518,2545.13322355662,josh
A/,616.448263508815,1191.383246663,2604.05383846689,josh
i,411.93658105215,1578.10729328255,2094.391408819,josh
u,370.187633055783,1512.20904058439,2046.1983564785,josh
e,1215.9735563264,2373.21080084314,3687.76959168586,josh
A/,435.169449047591,1302.90037086109,2671.24866008214,josh
E,538.635568684121,1502.2784734866,2494.51052986172,josh
O/,1004.16425480132,1993.43338388154,3184.78251099835,josh
E,662.314583797036,1240.6973818278,2608.67573366499,josh
A/,509.979647307091,1380.82228273734,2341.47402533332,josh
@,465.974355336879,1525.27337063263,2432.6315391832,josh
O/,559.127115391778,1508.79939135856,2525.1131822327,josh
E,461.743844532402,1508.00201034507,2387.60771504082,josh
A/,612.522686704971,1268.19167580376,2684.25563490449,josh
A/,641.364191637353,1327.07249886457,2479.79598598971,josh
A/,501.925899891562,1114.4653101388,2657.86111547715,josh
@,581.901553643929,1156.00351889059,2373.31029961716,josh
E,529.24060119294,1263.65252502392,2091.25927876637,josh
O/,639.917132033077,1963.62889252725,2659.04495846529,josh
E,547.955228395003,1395.32954285888,2598.70777648997,josh
O/,1159.67010835478,2096.98910206522,3075.79417952923,josh
y,1000.46396547161,2515.92641083754,4948.35470447617,josh
u,304.571377050331,1661.39891999992,2670.8540929891,josh
y,407.927752050792,1552.74523104944,2426.08686491005,josh
E,560.826881667396,1465.08562460509,2623.9854026372,josh
@,489.984029124086,1876.98626539105,2197.32695191031,josh
E,687.833757315612,1723.48643081646,3000.5167826024,josh
e,441.037680891263,1647.59791326256,2515.41783536247,josh
