speaker,sex,birth_year,ethnicity,education,social_status,state,land_region,vowel,word,F1,F2
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,RENTED,617,1708.7
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,PENDULUM,592.6,1821.4
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANYTHING,615.7,1510.7
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,CEMENT,599.3,1837
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,CENTER,609.2,1665.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANYTHING,681.6,1803.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANY,643.7,2095.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANY,596.2,1986.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,FENCES,625.7,1782.4
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,FENCES,599.7,1763
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,END,621.1,1930.4
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,FENCES,609.1,1448
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,FENCE,571.4,1775.5
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,WENT,667.9,1481.7
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,MEN,668,1912.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,MEN,609.6,1964.9
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,MEN,675.5,2207.7
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,MANY,614.4,1763.5
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANY,533.2,1528.2
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,END,693.2,2085
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,MEANT,596.9,1579.1
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANYBODY,548.9,1797.2
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,MEN,539.1,1572.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANY,572.6,1724.7
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,TEN,594.2,2090.3
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ATTENTION,581.2,1525.4
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,JENNIES,705.4,2115.6
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,JENNY,598.7,1989.4
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,TEN,615,1923.4
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,DEPENDS,698.8,2239.2
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,TEN,565.1,1910.6
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,TEN,500.4,2360.8
25,M,1897,Non-Black,10-Aug,Lower Middle,TN,Highlands,EH,ANYWAY,620.1,1862.4
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,BENEFITS,592.4,1896.1
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,FRIEND,644.9,2235.6
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,TEN,704,1755
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,MANY,573.2,1891
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,ENTERED,598,2507.1
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,DEN,549.9,1205.3
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,END,686.6,2067.8
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,WENT,731.6,1664.7
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,WENT,722.5,2116.2
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,SPENT,562.8,1698.5
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,WENT,680.8,1602.1
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,ANY,500.7,1430.7
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,MANY,668.4,1800.7
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,TEN,548.9,1482.6
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,TWENTY,592.7,1726
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,TWENTY,633.6,1382.2
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,DEPENDS,561.6,1465.5
27,F,1920,Non-Black,13-16+,Upper,TN,Highlands,EH,DEN,563.9,1700
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ANY,566.2,2336
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,FENCE,705.5,2185.2
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,FENCE,629.2,2204
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,WEDNESDAY,685.8,1979.3
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ANYTHING,605.3,1940.4
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ANY,679.4,2011.5
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,TEN,642.2,2509.2
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,TEN,656.2,1503.7
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ANYTHING,808.8,1809.1
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,GENESIS,613.5,2084.9
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,GENERAL,813.9,1687.3
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,LIEUTENANT,624.3,2073.5
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,LIEUTENANT,616.6,1916.4
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,SENSE,820.9,2187.8
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,MEN,792.3,2427.7
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,PERCENT,770,1734.7
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,UNCOMPLIMENTARY,765.1,1957.9
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,COMPLIMENTARY,761,2054.8
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ELEMENTARY,759.7,1898.3
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ANY,646.3,1428
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,TEN,591.2,1183.8
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,TENTH,656.4,1721.6
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,TEN,741.9,2234.6
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,MANY,702,2096.9
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,ANYWHERE,651.4,1914.8
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,PEN,668.3,2339.5
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,TEN,664.9,2573
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,CENTS,690.3,1913.2
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,SUSPENDERS,679,1822.4
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,FENCE,640.1,1996.9
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,FENCE,616.4,2183.9
40,F,1933,Non-Black,12-Nov,Lower Middle,TN,Highlands,EH,FENCE,647,1727.6
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,FENCED,514.6,2282.6
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,TEN,498.1,2385.4
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,N,727.4,2064.8
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,DEN,699.6,1994.9
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,TEN,574.2,2522.2
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,CENTRAL,550.9,2040.7
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,TEN,439.9,2653.9
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,TENTH,661.7,2188.6
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,MEANT,667.1,2499.4
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,FENCES,894.3,2045
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,FENCES,579.5,2318.9
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,FENCE,561.7,2365
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,FENCE,494,2343.9
100,F,1965,Black,12-Nov,Lower Middle,GA,Piedmont,EH,SUSPENDERS,561.3,1922.2
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,MANY,694.7,1515.4
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,TEN,620.1,1904.3
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,ANY,642.1,1969.7
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,TEN,524.4,2075.9
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,FRENCH,654.9,1757.8
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,DESCENT,536.4,1882.1
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,HENRY,574.5,2061.9
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,TEN,534.7,2110.7
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,HENRY,570.2,2062.5
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,HENRY,568.3,2067.4
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,PENSION,556.2,1985.2
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,MEN,606.9,1990.4
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,BEND,479.6,1680.1
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,BEND,432.1,1877.3
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,TEN,639.3,1902.4
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,WENT,556.5,1435.5
105,M,1903,Non-Black,10-Aug,Lower Middle,GA,Piedmont,EH,CENSUS,547.4,1675
