r,store,emphasis,word
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,fouRth
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,normal,flooR
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,fouRth
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Saks,emphatic,flooR
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
no,Macy's,normal,fouRth
