Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
gade,No,No,GL,"Mo di, 'Vou <VERB>gade</VERB> pou <DET>vo madanm</DET>?'",Ventress,1917,Female,Black,gade
me,Yes,No,GL,"Ka to fe en gonmbo fevi, to ka <VERB>me</VERB> sosis, chevret, enon mounn ti fe li avet la vyann bef, mounn fe li ave la vyann bef, e to <VERB>met</VERB> chevret, sosis.",Ventress,1917,Female,Black,mete
met,No,No,GL,"Ka to fe en gonmbo fevi, to ka <VERB>me</VERB> sosis, chevret, enon mounn ti fe li avet la vyann bef, mounn fe li ave la vyann bef, e to <VERB>met</VERB> chevret, sosis.",Ventress,1917,Female,Black,mete
kwi,NA,No,GL,"Na to <VERB>kwi</VERB> sa byen, <VERB>kite</VERB> li kwi byen DOWN.",Ventress,1917,Female,Black,kwi
kite,No,No,GL,"Na to <VERB>kwi</VERB> sa byen, <VERB>kite</VERB> li kwi byen DOWN.",Ventress,1917,Female,Black,kite
met,No,No,GL,Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.,Ventress,1917,Female,Black,mete
ole,No,Yes,GL,Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.,Ventress,1917,Female,Black,ole
les,Yes,Yes,GL,Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.,Ventress,1917,Female,Black,lese
mete,No,No,GL,"Anvon to <VERB>mete</VERB> dolo, to gen kwi sa byen, to gen kwi li byen pase to konnen la ye KIND OF SLIME LIKE, to gen kwi li byen.",Ventress,1917,Female,Black,mete
ote,No,No,GL,"Na sa <VERB>ote</VERB> tou la SLIME-la, sa <VERB>ote</VERB> SLIME-la byen andan, mete en ti bren vineg.",Ventress,1917,Female,Black,ote
ote,No,No,GL,"Na sa <VERB>ote</VERB> tou la SLIME-la, sa <VERB>ote</VERB> SLIME-la byen andan, mete en ti bren vineg.",Ventress,1917,Female,Black,ote
ADD,NA,No,GL,"Na ka tou sa (DOWN), na to <VERB>ADD</VERB>, to konnen, to <VERB>ADD</VERB> to zon--- to <VERB>ka</VERB> kwi zon--- to <VERB>ka</VERB> met <DET>to zonyon</DET> ondon lon onsonm ave <DET>to gonmbo</DET>.",Ventress,1917,Female,Black,ADD
ka,Yes,Yes,GL,<DET>To zonyon</DET> to <VERB>ka</VERB> kwi tou sa onsonm.,Ventress,1917,Female,Black,kapab
ole,No,Yes,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black,ole
met,No,No,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black,mete
met,No,No,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black,mete
