Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
gade,GL,"Mo di, 'Vou <VERB>gade</VERB> pou <DET>vo madanm</DET>?'",Ventress,1917,Female,Black
me,GL,"Ka to fe en gonmbo fevi, to ka <VERB>me</VERB> sosis, chevret, enon mounn ti fe li avet la vyann bef, mounn fe li ave la vyann bef, e to <VERB>met</VERB> chevret, sosis.",Ventress,1917,Female,Black
met,GL,"Ka to fe en gonmbo fevi, to ka <VERB>me</VERB> sosis, chevret, enon mounn ti fe li avet la vyann bef, mounn fe li ave la vyann bef, e to <VERB>met</VERB> chevret, sosis.",Ventress,1917,Female,Black
kwi,GL,"Na to <VERB>kwi</VERB> sa byen, <VERB>kite</VERB> li kwi byen DOWN.",Ventress,1917,Female,Black
kite,GL,"Na to <VERB>kwi</VERB> sa byen, <VERB>kite</VERB> li kwi byen DOWN.",Ventress,1917,Female,Black
met,GL,"Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
ole,GL,"Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
les,GL,"Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
mete,GL,"Anvon to <VERB>mete</VERB> dolo, to gen kwi sa byen, to gen kwi li byen pase to konnen la ye KIND OF SLIME LIKE, to gen kwi li byen.",Ventress,1917,Female,Black
ote,GL,"Na sa <VERB>ote</VERB> tou la SLIME-la, sa <VERB>ote</VERB> SLIME-la byen andan, mete en ti bren vineg.",Ventress,1917,Female,Black
ote,GL,"Na sa <VERB>ote</VERB> tou la SLIME-la, sa <VERB>ote</VERB> SLIME-la byen andan, mete en ti bren vineg.",Ventress,1917,Female,Black
ADD,GL,"Na ka tou sa (DOWN), na to <VERB>ADD</VERB>, to konnen, to <VERB>ADD</VERB> to zon--- to <VERB>ka</VERB> kwi zon--- to <VERB>ka</VERB> met <DET>to zonyon</DET> ondon lon onsonm ave <DET>to gonmbo</DET>.",Ventress,1917,Female,Black
ka,GL,"<DET>To zonyon</DET> to <VERB>ka</VERB> kwi tou sa onsonm.",Ventress,1917,Female,Black
ole,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black
met,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black
met,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black
lès,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black
met,GL,"Men si ten en mete konm, t en mete SEAFOOD, te en fe twè en SEAFOOD GUMBO, tonn ichka to prechke pare pou TURN <DET>to GUMBO</DET> OFF ovan to <VERB>met</VERB> <DET>to chevret</DET> andan, pase to konnen t a kwi ye a fe ye tro di.",Ventress,1917,Female,Black
met,GL,"Èna mounn ti <VERB>met</VERB> OYSTERS anndan la osi.",Ventress,1917,Female,Black
jonni,GL,"To wa en rou, tou la to fe se farin e to <VERB>jonni</VERB> li.",Ventress,1917,Female,Black
jonni,GL,"Farin-la, to <VERB>jonni</VERB> farin-la.",Ventress,1917,Female,Black
jonni,GL,"To <VERB>jonni</VERB> li (kòl) en kote.",Ventress,1917,Female,Black
ole,GL,"Inan mounn ti lenm--- to fe en, konm to fe to en, en bon GRAVY, to fe sa t <VERB>ole</VERB>, mounn ti fe sa jonn, jonn jonn, mè pa tou-mounn <VERB>lenm</VERB> ki-chò tro nwar, to konnen.",Ventress,1917,Female,Black
met,GL,"Mo met farin-la, to <VERB>met</VERB> farin--- na ènon mounn ti konnen fe rou, ye a pran y en ti bren lagres.",Ventress,1917,Female,Black
met,GL,"OF COURSE ka to fe li ondan, ondan STOVE, to <VERB>met</VERB> li dan STOVE (...) to pa e, to pa, to bèzwonn gete li AS OFTEN ke si to en fe li anho STOVE-la.",Ventress,1917,Female,Black
pel,GL,"Sa se sa to <VERB>pel</VERB> en rou sek.",Ventress,1917,Female,Black
kwi,GL,"Mè ki fe mo mo fe pa rou gra, ka to <VERB>kwi</VERB>, li tro gra.",Ventress,1917,Female,Black
met,GL,"To <VERB>met</VERB> ti bren rou, na ka t en fe OKRA GUMBO, pa met tro rou.",Ventress,1917,Female,Black
fri,GL,"Mè ka t en fe en lòt gonmbo, ich en PLAIN ganbo, ka t en fe en PLAIN ganmbo, s t en fe ten en ganbo ave poul, to <VERB>fri</VERB> <DET>to poul</DET>.",Ventress,1917,Female,Black
fri,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
kwi,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
met,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
met,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
les,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
manj,GL,"Mo pè tòrti, mo mo <VERB>manj</VERB> pa toti mo pen en kwi toti.",Ventress,1917,Female,Black
lenm,GL,"Mo <VERB>lenm</VERB> pa torti.",Ventress,1917,Female,Black
monj,GL,"O non, mo <VERB>monj</VERB> pa tòti.",Ventress,1917,Female,Black
monj,GL,"Mo <VERB>monj</VERB> pa tòti.",Ventress,1917,Female,Black
kwi,GL,"Mo <VERB>kwi</VERB> pa li, mo <VERB>monj</VERB> pa li, mè to <VERB>parle</VERB> san bon!",Ventress,1917,Female,Black
monj,GL,"Mo <VERB>kwi</VERB> pa li, mo <VERB>monj</VERB> pa li, mè to <VERB>parle</VERB> san bon!",Ventress,1917,Female,Black
parle,GL,"Mo <VERB>kwi</VERB> pa li, mo <VERB>monj</VERB> pa li, mè to <VERB>parle</VERB> san bon!",Ventress,1917,Female,Black
gen,GL,"Se en lavyonn ti san bon ka to <VERB>gen</VERB> li byen sizonnen.",Ventress,1917,Female,Black
manj,GL,"Ye <VERB>manj</VERB> tou kalte ti tòrti-ye.",Ventress,1917,Female,Black
