Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
pons,ME,"Mo <VERB>pons</VERB> <DET>mo momon</DET> te pale ongle (e) mwen, pou fe mo konmpronn, men tou-ki-cho dan la mezon sè te kreyòl.",Chenal,1921,Female,Creole_of_color
gen,ME,"Mo <VERB>gen</VERB> de frè.",Chenal,1921,Female,Creole_of_color
kanprann,ME,"Na <DET>mo plu vye piti</DET>, sa-ka Kalifounni a, li pe e pale kreyòl, men li <VERB>kanprann</VERB> tou-ki-choz, koum mwen.",Chenal,1921,Female,Creole_of_color
kòmprann,ME,"Li <VERB>kòmprann</VERB> tou-ki-choz.",Chenal,1921,Female,Creole_of_color
konmprann,ME,"Li <VERB>konmprann</VERB> tou-ki-choz. ...",Chenal,1921,Female,Creole_of_color
parl,ME,"E si li wa en F--- en zami ki <VERB>parl</VERB> jus kreyòl, ye a parle.",Chenal,1921,Female,Creole_of_color
parl,ME,"L a di en mo koum sa men li <VERB>parl</VERB> pa, pa konm mwen.",Chenal,1921,Female,Creole_of_color
pele,ME,"Men no gen, sa ye <VERB>pele</VERB> Kadjen, on Lil, ki plu bren kè nouzòt.",Chenal,1921,Female,Creole_of_color
raple,ME,"Pa <VERB>raple</VERB> men mo te, peutet SEVENTH GRADE, kon li mouri.",Chenal,1921,Female,Creole_of_color
vonn,ME,"To wa, moun-ye <VERB>vonn</VERB> dekonn-la e <VERB>peye</VERB>, (...) en pe.",Chenal,1921,Female,Creole_of_color
peye,ME,"To wa, moun-ye <VERB>vonn</VERB> dekonn-la e <VERB>peye</VERB>, (...) en pe.",Chenal,1921,Female,Creole_of_color
voye,ME,"Men gouvèrnemon <VERB>voye</VERB> ye en tchek apre sa.",Chenal,1921,Female,Creole_of_color
gen,ME,"Konmen arpon ye e kou plonte ..., ye <VERB>gen</VERB> tou sa dan NEW ROAD.",Chenal,1921,Female,Creole_of_color
kapab,ME,"Ye pa <VERB>kapab</VERB> jus fe sa y <VERB>ole</VERB> ankò.",Chenal,1921,Female,Creole_of_color
ole,ME,"Ye pa <VERB>kapab</VERB> jus fe sa y <VERB>ole</VERB> ankò.",Chenal,1921,Female,Creole_of_color
raple,ME,"Pa <VERB>raple</VERB>.",Chenal,1921,Female,Creole_of_color
raple,ME,"M pa <VERB>raple</VERB> ye.",Chenal,1921,Female,Creole_of_color
kouri,ME,"E lòt-la te res, to <VERB>kouri</VERB> on GLYNN, e to <VERB>vire</VERB> petet de mil.",Chenal,1921,Female,Creole_of_color
vire,ME,"E lòt-la te res, to <VERB>kouri</VERB> on GLYNN, e to <VERB>vire</VERB> petet de mil.",Chenal,1921,Female,Creole_of_color
gen,ME,"Mo, li <VERB>gen</VERB> en biznis, te AN ACCOUNTANT.",Chenal,1921,Female,Creole_of_color
Mènen,ME,"<VERB>Mènen</VERB> moun e li konnen--- li pa <VERB>kapab</VERB> ronje taks.",Chenal,1921,Female,Creole_of_color
kapab,ME,"<VERB>Mènen</VERB> moun e li konnen--- li pa <VERB>kapab</VERB> ronje taks.",Chenal,1921,Female,Creole_of_color
kapa,ME,"Aben <DET>mo fiy</DET> pa <VERB>kapa</VERB> fe sa, men tou-lòt-ki-chò-la dan lofis-la---",Chenal,1921,Female,Creole_of_color
