Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
gen,No,Yes,NF,Ki laj to <VERB>gen</VERB>?,Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,"E mo mo <VERB>gen</VERB>, katre-ven, katre-ven-yuit, <VERB>kouri</VERB> on katre-ven-nèf.",Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,E B. li li <VERB>gen</VERB> katrè-ven-e-kèk lannen.,Parlange Plantation,1905,Male,Black,gen
va,Yes,No,NF,To <VERB>va</VERB> le bal?,Parlange Plantation,1905,Male,Black,kouri
Lenm,Yes,Yes,NF,<VERB>Lenm</VERB> la muzik?,Parlange Plantation,1905,Male,Black,lenme
pran,Yes,No,NF,Sa-fe (...) to <VERB>pran</VERB> defig (onm) banann.,Parlange Plantation,1905,Male,Black,prann
mennen,No,No,NF,"En fonm, en nòm blan mele avè en fonm koulè, sa <VERB>mennen</VERB> en milat.",Parlange Plantation,1905,Male,Black,menne
va,Yes,No,NF,"La, milat-la, li li <VERB>va</VERB> li <VERB>marye</VERB> avè en lòt milatres, sa sa <VERB>mennen</VERB> en nasyon, nasyon de mulat.",Parlange Plantation,1905,Male,Black,kouri
marye,No,No,NF,"La, milat-la, li li <VERB>va</VERB> li <VERB>marye</VERB> avè en lòt milatres, sa sa <VERB>mennen</VERB> en nasyon, nasyon de mulat.",Parlange Plantation,1905,Male,Black,marye
mennen,No,No,NF,"La, milat-la, li li <VERB>va</VERB> li <VERB>marye</VERB> avè en lòt milatres, sa sa <VERB>mennen</VERB> en nasyon, nasyon de mulat.",Parlange Plantation,1905,Male,Black,menne
mel,Yes,No,NF,Ye <VERB>mel</VERB> pa ave nouzo.,Parlange Plantation,1905,Male,Black,mele
pe,Yes,Yes,NF,Mo m <VERB>pe</VERB> pa kouri ave ye.,Parlange Plantation,1905,Male,Black,kapab
peu,Yes,Yes,NF,M <VERB>peu</VERB> pa kour wa <DET>ye fiy</DET> selman.,Parlange Plantation,1905,Male,Black,kapab
pran,Yes,No,NF,"E B. la li tou-sel, li pa <VERB>pran</VERB> ankò lòt madanm, en?",Parlange Plantation,1905,Male,Black,prann
res,Yes,Yes,NF,La li <VERB>res</VERB> li tou-sel.,Parlange Plantation,1905,Male,Black,reste
kapab,No,Yes,NF,"Se pa bon rète li tou-sel konm sa, malad <VERB>kapab</VERB> pran dan la nwit, ou dan la journen.",Parlange Plantation,1905,Male,Black,kapab
gen,No,Yes,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black,gen
pe,Yes,Yes,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black,kapab
gen,No,Yes,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black,gen
res,Yes,Yes,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black,reste
res,Yes,Yes,NF,Se la li <VERB>res</VERB>.,Parlange Plantation,1905,Male,Black,reste
monj,Yes,No,NF,Zò <VERB>monj</VERB> pa kribis?,Parlange Plantation,1905,Male,Black,manje
ole,No,Yes,NF,Ye jus p <VERB>ole</VERB> monje sa.,Parlange Plantation,1905,Male,Black,ole
monj,Yes,No,NF,Zò <VERB>monj</VERB> sa?,Parlange Plantation,1905,Male,Black,manje
gen,No,Yes,NF,(Zò) <VERB>gen</VERB> pa sa laba.,Parlange Plantation,1905,Male,Black,gen
rète,No,Yes,NF,Me ... <DET>to popa e moman</DET> <VERB>rète</VERB> dan en vilaj o dan la konpony?,Parlange Plantation,1905,Male,Black,reste
èleve,No,No,NF,Zò <VERB>èleve</VERB> de poul?,Parlange Plantation,1905,Male,Black,èleve
èlev,Yes,No,NF,(...) <VERB>èlev</VERB> pa nu de kochon aryen dtou?,Parlange Plantation,1905,Male,Black,èleve
gen,No,Yes,NF,"Pa <VERB>gen</VERB> d vach, aryen kòm sa.",Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,"Zòt <VERB>gen</VERB> <DET>zòtchenn plas</DET>, <DET>zo OWN plas</DET> dan INDIANA?",Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,"E (ou)zò pa <VERB>gen</VERB> de larivyè, ou de ponn pou kou peche, aryen dtou konm sa?",Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,E to <VERB>gen</VERB> plen de zanmi laba en?,Parlange Plantation,1905,Male,Black,gen
