Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
gen,NF,"Ki laj to <VERB>gen</VERB>?",Parlange Plantation,1905,Male,Black
gen,NF,"E mo mo <VERB>gen</VERB>, katre-ven, katre-ven-yuit, <VERB>kouri</VERB> on katre-ven-nèf.",Parlange Plantation,1905,Male,Black
gen,NF,"E B. li li <VERB>gen</VERB> katrè-ven-e-kèk lannen.",Parlange Plantation,1905,Male,Black
va,NF,"To <VERB>va</VERB> le bal?",Parlange Plantation,1905,Male,Black
Lenm,NF,"<VERB>Lenm</VERB> la muzik?",Parlange Plantation,1905,Male,Black
pran,NF,"Sa-fe (...) to <VERB>pran</VERB> defig (onm) banann.",Parlange Plantation,1905,Male,Black
mennen,NF,"En fonm, en nòm blan mele avè en fonm koulè, sa <VERB>mennen</VERB> en milat.",Parlange Plantation,1905,Male,Black
va,NF,"La, milat-la, li li <VERB>va</VERB> li <VERB>marye</VERB> avè en lòt milatres, sa sa <VERB>mennen</VERB> en nasyon, nasyon de mulat.",Parlange Plantation,1905,Male,Black
marye,NF,"La, milat-la, li li <VERB>va</VERB> li <VERB>marye</VERB> avè en lòt milatres, sa sa <VERB>mennen</VERB> en nasyon, nasyon de mulat.",Parlange Plantation,1905,Male,Black
mennen,NF,"La, milat-la, li li <VERB>va</VERB> li <VERB>marye</VERB> avè en lòt milatres, sa sa <VERB>mennen</VERB> en nasyon, nasyon de mulat.",Parlange Plantation,1905,Male,Black
mel,NF,"Ye <VERB>mel</VERB> pa ave nouzo.",Parlange Plantation,1905,Male,Black
pe,NF,"Mo m <VERB>pe</VERB> pa kouri ave ye.",Parlange Plantation,1905,Male,Black
peu,NF,"M <VERB>peu</VERB> pa kour wa <DET>ye fiy</DET> selman.",Parlange Plantation,1905,Male,Black
pran,NF,"E B. la li tou-sel, li pa <VERB>pran</VERB> ankò lòt madanm, en?",Parlange Plantation,1905,Male,Black
res,NF,"La li <VERB>res</VERB> li tou-sel.",Parlange Plantation,1905,Male,Black
kapab,NF,"Se pa bon rète li tou-sel konm sa, malad <VERB>kapab</VERB> pran dan la nwit, ou dan la journen.",Parlange Plantation,1905,Male,Black
gen,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black
pe,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black
gen,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black
res,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black
res,NF,"Se la li <VERB>res</VERB>.",Parlange Plantation,1905,Male,Black
monj,NF,"Zò <VERB>monj</VERB> pa kribis?",Parlange Plantation,1905,Male,Black
ole,NF,"Ye jus p <VERB>ole</VERB> monje sa.",Parlange Plantation,1905,Male,Black
monj,NF,"Zò <VERB>monj</VERB> sa?",Parlange Plantation,1905,Male,Black
gen,NF,"(Zò) <VERB>gen</VERB> pa sa laba.",Parlange Plantation,1905,Male,Black
rète,NF,"Me ... <DET>to popa e moman</DET> <VERB>rète</VERB> dan en vilaj o dan la konpony?",Parlange Plantation,1905,Male,Black
èleve,NF,"Zò <VERB>èleve</VERB> de poul?",Parlange Plantation,1905,Male,Black
èlev,NF,"(...) <VERB>èlev</VERB> pa nu de kochon aryen dtou?",Parlange Plantation,1905,Male,Black
gen,NF,"Pa <VERB>gen</VERB> d vach, aryen kòm sa.",Parlange Plantation,1905,Male,Black
gen,NF,"Zòt <VERB>gen</VERB> <DET>zòtchenn plas</DET>, <DET>zo OWN plas</DET> dan INDIANA?",Parlange Plantation,1905,Male,Black
gen,NF,"E (ou)zò pa <VERB>gen</VERB> de larivyè, ou de ponn pou kou peche, aryen dtou konm sa?",Parlange Plantation,1905,Male,Black
gen,NF,"E to <VERB>gen</VERB> plen de zanmi laba en?",Parlange Plantation,1905,Male,Black
gen,NF,"E ouzò <VERB>gen</VERB> en legliz ao zo <VERB>va</VERB>?",Parlange Plantation,1905,Male,Black
va,NF,"E ouzò <VERB>gen</VERB> en legliz ao zo <VERB>va</VERB>?",Parlange Plantation,1905,Male,Black
gen,NF,"Zo <VERB>gen</VERB> en PREACHER o en pret, kèk-chòj pou di ouzò la lijyon e tou?",Parlange Plantation,1905,Male,Black
kwa,NF,"Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?",Parlange Plantation,1905,Male,Black
mouri,NF,"Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?",Parlange Plantation,1905,Male,Black
gen,NF,"Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?",Parlange Plantation,1905,Male,Black
BELIEVE,NF,"Zò <VERB>BELIEVE</VERB> dan sa?",Parlange Plantation,1905,Male,Black
krwa,NF,"Zò <VERB>krwa</VERB> dan sa?",Parlange Plantation,1905,Male,Black
kwa,NF,"Wa nouzò, le Bæbtis, (ye) tou <VERB>kwa</VERB>, ye <VERB>gen</VERB> pret ou en PREACHER, ki <VERB>PREACH</VERB> pou di ye, fe de priyè pou kouri dan le bon plas e fe sa-ki ben, pa fe aryen ki mal.",Parlange Plantation,1905,Male,Black
gen,NF,"E ouzò <VERB>gen</VERB> en legliz?",Parlange Plantation,1905,Male,Black
gen,NF,"Sa <VERB>gen</VERB> plen de MEMBER?",Parlange Plantation,1905,Male,Black
pey,NF,"Zo <VERB>pey</VERB> SO MUCH pou--- ki-moun zò <VERB>pey</VERB> pou, tchòmbo legliz-la?",Parlange Plantation,1905,Male,Black
pey,NF,"Zo <VERB>pey</VERB> SO MUCH pou--- ki-moun zò <VERB>pey</VERB> pou, tchòmbo legliz-la?",Parlange Plantation,1905,Male,Black
gen,NF,"Zo <VERB>gen</VERB> en pret ou en PREACH---",Parlange Plantation,1905,Male,Black
gen,NF,"Isi nou <VERB>gen</VERB> en pret.",Parlange Plantation,1905,Male,Black
min,NF,"La ket sa <VERB>min</VERB> pou donn larjan dan la ket-la, pou ède li pou fe <DET>so lavi</DET>.",Parlange Plantation,1905,Male,Black
va,NF,"Blan-ye tou <VERB>va</VERB> ye tou-sel, e koulè-ye <VERB>va</VERB> ye tou-sel.",Parlange Plantation,1905,Male,Black
va,NF,"Blan-ye tou <VERB>va</VERB> ye tou-sel, e koulè-ye <VERB>va</VERB> ye tou-sel.",Parlange Plantation,1905,Male,Black
va,NF,"Men dan Leklenn, koulè e blan tou <VERB>va</VERB> ansanm paski ye <VERB>gen</VERB> j en legliz la.",Parlange Plantation,1905,Male,Black
gen,NF,"Men dan Leklenn, koulè e blan tou <VERB>va</VERB> ansanm paski ye <VERB>gen</VERB> j en legliz la.",Parlange Plantation,1905,Male,Black
asi,NF,"Ye tou <VERB>asi</VERB> asanm.",Parlange Plantation,1905,Male,Black
rapèl,NF,"O wè, mo <VERB>rapèl</VERB> kan nou te peu, pe pa kouri asi ave blan-ye.",Parlange Plantation,1905,Male,Black
va,NF,"Fe de fèr, tou-mounn <VERB>va</VERB> la.",Parlange Plantation,1905,Male,Black
gen,NF,"Jodi le nwa <VERB>gen</VERB> nèf mwa lekòl parey konm de blan.",Parlange Plantation,1905,Male,Black
gen,NF,"Le nwar <VERB>gen</VERB> nèf mwa lekòl le blan <VERB>gen</VERB> nèf mwa.",Parlange Plantation,1905,Male,Black
gen,NF,"Le nwar <VERB>gen</VERB> nèf mwa lekòl le blan <VERB>gen</VERB> nèf mwa.",Parlange Plantation,1905,Male,Black
va,NF,"E ye tou <VERB>va</VERB> ansanm dan mèm lekòl.",Parlange Plantation,1905,Male,Black
vòt,NF,"Men jòrdi le koulè (z|l)avoka, e ye konnen la lwa e ye <VERB>vòt</VERB>, tou-ki-cho.",Parlange Plantation,1905,Male,Black
lèm,NF,"O wè, to <VERB>lèm</VERB> dèmokrat.",Parlange Plantation,1905,Male,Black
kwa,NF,"Sa to <VERB>kwa</VERB> pou le prezidan nou <VERB>gen</VERB> astè, ki kalite boug, to <VERB>kwa</VERB> sè en bon boug, sa?",Parlange Plantation,1905,Male,Black
gen,NF,"Sa to <VERB>kwa</VERB> pou le prezidan nou <VERB>gen</VERB> astè, ki kalite boug, to <VERB>kwa</VERB> sè en bon boug, sa?",Parlange Plantation,1905,Male,Black
kwa,NF,"Sa to <VERB>kwa</VERB> pou le prezidan nou <VERB>gen</VERB> astè, ki kalite boug, to <VERB>kwa</VERB> sè en bon boug, sa?",Parlange Plantation,1905,Male,Black
dòn,NF,"WELL li <VERB>dòn</VERB> tro bokou le promès.",Parlange Plantation,1905,Male,Black
kapab,NF,"E li pa <VERB>kapab</VERB> FILL li promes.",Parlange Plantation,1905,Male,Black
kapab,NF,"Li pa <VERB>kapab</VERB> donn le promes sa li di le mounn ki li te gen pou fe.",Parlange Plantation,1905,Male,Black
pe,NF,"E en nonm <VERB>pe</VERB> pa fe la lwa li tou-sel, sa gen kouri THROUGH le kongres.",Parlange Plantation,1905,Male,Black
