Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
ole,No,Yes,YC,"'<DET>Mo ti-fiy</DET> e <DET>mo ti-garson</DET>, e le ti-garson ansanm, mo p <VERB>ole</VERB> ye kou lekòl konm sa.'",Ventress,1909,Female,Black,ole
va,Yes,No,YC,"E mwa e li nou v--- nou te va kon---, nou <VERB>va</VERB> konm sè e frè, kòm de sè.",Ventress,1909,Female,Black,kouri
frekont,Yes,No,JL,"La nou MOVE don Chmen Nef la, e nou <VERB>frekont</VERB> pa souvan pakeu nou pa <VERB>gen</VERB> labarkasyon.",Ventress,1913,Female,Black,frekonte
gen,No,Yes,JL,"La nou MOVE don Chmen Nef la, e nou <VERB>frekont</VERB> pa souvan pakeu nou pa <VERB>gen</VERB> labarkasyon.",Ventress,1913,Female,Black,gen
kapab,No,Yes,JL,Men kan nou <VERB>kapab</VERB> nou <VERB>jwann</VERB> èn-a-lòt!,Ventress,1913,Female,Black,kapab
jwann,No,No,JL,Men kan nou <VERB>kapab</VERB> nou <VERB>jwann</VERB> èn-a-lòt!,Ventress,1913,Female,Black,jwann
veu,Yes,Yes,JL,"Non, si (èl) <VERB>veu</VERB> vizite, nou <VERB>pe</VERB> pa vizite konm nou te konnen paseu nou pa pròch konm nou te konnen et.",Ventress,1913,Female,Black,ole
pe,Yes,Yes,JL,"Non, si (èl) <VERB>veu</VERB> vizite, nou <VERB>pe</VERB> pa vizite konm nou te konnen paseu nou pa pròch konm nou te konnen et.",Ventress,1913,Female,Black,kapab
sòr,Yes,No,YC,"Mo wa ou mo <VERB>sòr</VERB>, mo pa ich wa ou m e kouri.",Ventress,1909,Female,Black,sorti
sòr,Yes,No,YC,Mo wa ou mo <VERB>sòr</VERB>.,Ventress,1909,Female,Black,sorti
sòr,Yes,No,YC,Me se bon kan to wa ou to <VERB>sòr</VERB>!,Ventress,1909,Female,Black,sorti
sòr,Yes,No,YC,"Si to wa ou to <VERB>sòr</VERB>, t a konnen aou t e kouri ka t a, ka t a (vini pou ...)",Ventress,1909,Female,Black,sorti
krwa,Yes,Yes,YC,Men mon mo <VERB>krwa</VERB> pa se pei-la!,Ventress,1909,Female,Black,krwaye
va,Yes,No,YC,"E ka vye f--- mounn-ye se kou travay, ye se prann <DET>ye piti-ye</DET>, ye se kite kote lòt vwazen-la ki <VERB>va</VERB> pa travay.",Ventress,1909,Female,Black,kouri
ka,Yes,Yes,YC,To pa <VERB>ka</VERB> touche piti kèkenn astèr-la!,Ventress,1909,Female,Black,kapab
ole,No,Yes,YC,Ye p <VERB>ole</VERB> to touche y paseu (se si se sa) traka.,Ventress,1909,Female,Black,ole
kapab,No,Yes,YC,Se sa-ki fe mon mo pa <VERB>kapab</VERB> fe mal.,Ventress,1909,Female,Black,kapab
krwa,Yes,Yes,YC,"E, e, e, e rèlmon astè, mo <VERB>krwa</VERB> le mounn blan te meyè ton pase ke astè.",Ventress,1909,Female,Black,krwaye
pèl,Yes,No,JL,Se sa ye <VERB>pèl</VERB> vou donn tète.,Ventress,1913,Female,Black,pele
kapab,No,Yes,JL,"Mhm, wè li <VERB>kapab</VERB>.",Ventress,1913,Female,Black,kapab
pel,Yes,No,JL,Vou konnen sa ye <VERB>pel</VERB> èkspoze?,Ventress,1913,Female,Black,pele
