Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
ole,YC,"'<DET>Mo ti-fiy</DET> e <DET>mo ti-garson</DET>, e le ti-garson ansanm, mo p <VERB>ole</VERB> ye kou lekòl konm sa.'",Ventress,1909,Female,Black
va,YC,"E mwa e li nou v--- nou te va kon---, nou <VERB>va</VERB> konm sè e frè, kòm de sè.",Ventress,1909,Female,Black
frekont,JL,"La nou MOVE don Chmen Nef la, e nou <VERB>frekont</VERB> pa souvan pakeu nou pa <VERB>gen</VERB> labarkasyon.",Ventress,1913,Female,Black
gen,JL,"La nou MOVE don Chmen Nef la, e nou <VERB>frekont</VERB> pa souvan pakeu nou pa <VERB>gen</VERB> labarkasyon.",Ventress,1913,Female,Black
kapab,JL,"Men kan nou <VERB>kapab</VERB> nou <VERB>jwann</VERB> èn-a-lòt!",Ventress,1913,Female,Black
jwann,JL,"Men kan nou <VERB>kapab</VERB> nou <VERB>jwann</VERB> èn-a-lòt!",Ventress,1913,Female,Black
veu,JL,"Non, si (èl) <VERB>veu</VERB> vizite, nou <VERB>pe</VERB> pa vizite konm nou te konnen paseu nou pa pròch konm nou te konnen et.",Ventress,1913,Female,Black
pe,JL,"Non, si (èl) <VERB>veu</VERB> vizite, nou <VERB>pe</VERB> pa vizite konm nou te konnen paseu nou pa pròch konm nou te konnen et.",Ventress,1913,Female,Black
sòr,YC,"Mo wa ou mo <VERB>sòr</VERB>, mo pa ich wa ou m e kouri.",Ventress,1909,Female,Black
sòr,YC,"Mo wa ou mo <VERB>sòr</VERB>.",Ventress,1909,Female,Black
sòr,YC,"Me se bon kan to wa ou to <VERB>sòr</VERB>!",Ventress,1909,Female,Black
sòr,YC,"Si to wa ou to <VERB>sòr</VERB>, t a konnen aou t e kouri ka t a, ka t a (vini pou ...)",Ventress,1909,Female,Black
krwa,YC,"Men mon mo <VERB>krwa</VERB> pa se pei-la!",Ventress,1909,Female,Black
va,YC,"E ka vye f--- mounn-ye se kou travay, ye se prann <DET>ye piti-ye</DET>, ye se kite kote lòt vwazen-la ki <VERB>va</VERB> pa travay.",Ventress,1909,Female,Black
ka,YC,"To pa <VERB>ka</VERB> touche piti kèkenn astèr-la!",Ventress,1909,Female,Black
ole,YC,"Ye p <VERB>ole</VERB> to touche y paseu (se si se sa) traka.",Ventress,1909,Female,Black
kapab,YC,"Se sa-ki fe mon mo pa <VERB>kapab</VERB> fe mal.",Ventress,1909,Female,Black
krwa,YC,"E, e, e, e rèlmon astè, mo <VERB>krwa</VERB> le mounn blan te meyè ton pase ke astè.",Ventress,1909,Female,Black
pèl,JL,"Se sa ye <VERB>pèl</VERB> vou donn tète.",Ventress,1913,Female,Black
kapab,JL,"Mhm, wè li <VERB>kapab</VERB>.",Ventress,1913,Female,Black
pel,JL,"Vou konnen sa ye <VERB>pel</VERB> èkspoze?",Ventress,1913,Female,Black
gen,JL,"Non, ye po osi mal, paske, nou <VERB>gen</VERB> plus la libèrte, ke, nou te gen bæ--- laba dèryè.",Ventress,1913,Female,Black
travay,JL,"Kan nou <VERB>travay</VERB> ye <VERB>pey</VERB>, ye gen peye nouzò.",Ventress,1913,Female,Black
pey,JL,"Kan nou <VERB>travay</VERB> ye <VERB>pey</VERB>, ye gen peye nouzò.",Ventress,1913,Female,Black
kapab,JL,"(...) E, nou <VERB>kapab</VERB> achte, la tè, nou <VERB>ka</VERB> achte la mezon, AND THINGS LIKE THAT.",Ventress,1913,Female,Black
ka,JL,"(...) E, nou <VERB>kapab</VERB> achte, la tè, nou <VERB>ka</VERB> achte la mezon, AND THINGS LIKE THAT.",Ventress,1913,Female,Black
gen,JL,"Ni-pye se kan to pa <VERB>gen</VERB> souye an to pye.",Ventress,1913,Female,Black
krwa,YC,"Dezèf sè te mo <VERB>krwa</VERB> THIRTY CENTS A, A DOZEN, e nou ka, ma--- men <DET>mon poul-ye</DET> te e ponn dan s tan-sa-la.",Ventress,1909,Female,Black
BELIEVE,JL,"Vou <VERB>BELIEVE</VERB> andan Bondjè?",Ventress,1913,Female,Black
BELIEVE,JL,"Vou <VERB>BELIEVE</VERB> dan Bondjè?",Ventress,1913,Female,Black
min,JL,"Sa <VERB>min</VERB> li è s--- sèr---",Ventress,1913,Female,Black
pel,YC,"Ye, <VERB>pel</VERB> li paradi.",Ventress,1909,Female,Black
krwa,YC,"Mo mo <VERB>krwa</VERB>, mo <VERB>krwa</VERB> dan---",Ventress,1909,Female,Black
va,JL,"Nou <VERB>va</VERB> kote legliz katolik!",Ventress,1913,Female,Black
