Asker,Location,Age,Gender,Ethnicity,Year,n(i)che,ni(che),Notes
Josh,North_campus,Early 20s,Male,White,Unknown,ɪ,tʃ,
Josh,North_campus,Early 20s,Male,Black,3,i,ʃ,
Josh,North_campus,Mid 20s,Male,White,5,ɪ,tʃ,
Josh,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Josh,North_campus,Early-Mid 20s,Female,White,3,i,ʃ,
Josh,North_campus,Early 20s,Female,Asian,Unknown,ɪ,ʃ,
Josh,North_campus,Early 20s,Male,White,Unknown,ɪ,tʃ,
Josh,North_campus,40s-50s,Female,White,Not_student,i,ʃ,
Josh,North_campus,Early-Mid 20s,Male,Indian?,4,ɪ,tʃ,
Josh,North_campus,Early 20s,Female,Indian?,4,ɪ,tʃ,
Josh,North_campus,Mid 20s,Female,Black,5,ɪ,tʃ,
Josh,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Josh,North_campus,Early-Mid 20s,Female,White,4,ɪ,tʃ,
Josh,North_campus,Early-Mid 20s,Male,White,4,ɪ,tʃ,
Josh,North_campus,Early 20s,Male,White,1,ɪ,ʃ,
Josh,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Josh,North_campus,Early-Mid 20s,Female,White,4,ɪ,tʃ,
Josh,North_campus,Early-Mid 20s,Male,White,3,ɪ,tʃ,
Josh,South_campus,Mid 20s,Male,White?,7,ɪ,tʃ,
Josh,South_campus,Early-Mid 20s,Male,White,4,ɪ,tʃ,
Josh,South_campus,<20,Male,White,1,ɪ,tʃ,
Josh,South_campus,~20,Male,White,1,ɪ,tʃ,
Josh,South_campus,30s,Male,White,Not_student,ɪ,tʃ,
Josh,South_campus,Early 20s,Female,Indian?,Unknown,ɪ,tʃ,
Josh,South_campus,Early 20s,Female,White,1,ɪ,ʃ,
Josh,South_campus,Early 20s,Female,Asian,1,ɪ,tʃ,
Josh,South_campus,<20,Male,White,1,ɪ,tʃ,
Josh,South_campus,Early 20s,Male,White,3,ɪ,tʃ,
Josh,South_campus,<20,Male,White,1,i,tʃ,Might have had a speech impediment
Josh,South_campus,<20?,Female,White,1,i,ʃ,
Josh,South_campus,~20,Male,Indian?,1,i,ʃ,
Josh,South_campus,Early 20s,Female,White,Unknown,ɪ,ʃ,
Josh,South_campus,Early 20s,Female,White,2,i,ʃ,
Maggie,North_campus,Early 20s,Female,White,4,ɪ,tʃ,
Maggie,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Maggie,North_campus,Early 20s,Male,White,4,ɪ,tʃ,
Maggie,North_campus,<20,Female,Black,1,ɪ,tʃ,
Maggie,North_campus,<20,Female,Black,1,ɪ,tʃ,
Maggie,North_campus,Early 20s,Female,White,4,ɪ,tʃ,
Maggie,North_campus,<20,Female,White,1,ɪ,tʃ,
Maggie,North_campus,Early 20s,Female,White,2,ɪ,tʃ,
Maggie,North_campus,Early 20s,Female,White,3,ɪ,tʃ,
Maggie,North_campus,Early 20s,Female,Black,3,ɪ,tʃ,
Maggie,North_campus,<20,Female,Indian,1,i,ʃ,
Maggie,North_campus,Early 20s,Female,White,4,ɪ,tʃ,
Maggie,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Maggie,North_campus,<20,Female,White,1,i,tʃ,"Said [nitʃ] first, then [nɪtʃ]"
Maggie,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Maggie,North_campus,<20,Male,White,1,ɪ,tʃ,
Maggie,North_campus,Early 20s,Female,White,2,ɪ,tʃ,
Maggie,North_campus,Early 20s,Male,White,2,ɪ,tʃ,
Maggie,North_campus,<20,Female,Indian,1,i,ʃ,
Maggie,North_campus,Early 20s,Female,White,2,ɪ,tʃ,
Maggie,North_campus,Early 20s,Male,White,4,i,ʃ,
