"PRONOUN","SPEAKER","SPECIFICITY","ANIMACY","REF.DISTANCE","VERB.TYPE"
"ça","coulson","specific","animate","in.t.unit","regular"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","generic","animate","out.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","in.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ils","coulson","specific","animate","out.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ils","coulson","specific","animate","out.t.unit","etre.avoir"
"ils","coulson","specific","animate","out.t.unit","etre.avoir"
"ils","coulson","specific","animate","out.t.unit","etre.avoir"
"ils","coulson","specific","inanimate","out.t.unit","etre.avoir"
"ça","coulson","generic","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","in.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ça","coulson","generic","animate","in.t.unit","regular"
"ils","coulson","specific","animate","out.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ils","coulson","specific","animate","out.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","generic","animate","out.t.unit","regular"
"ça","coulson","specific","animate","in.t.unit","regular"
"ils","coulson","specific","animate","in.t.unit","etre.avoir"
"ça","coulson","specific","animate","out.t.unit","regular"
"ça","coulson","specific","animate","out.t.unit","regular"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ça","coulson","specific","animate","in.t.unit","regular"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","specific","inanimate","out.t.unit","etre.avoir"
"ça","coulson","specific","inanimate","out.t.unit","regular"
"ça","coulson","generic","animate","out.t.unit","regular"
"ils","coulson","generic","animate","out.t.unit","etre.avoir"
"ils","coulson","specific","animate","in.t.unit","regular"
